ï»¿Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira;semestre;Regiao - Sigla
;RJ;DUQUE DE CAXIAS;AUTO POSTO DO TRABALHO S/A; 03.139.910/0025-15;RODOVIA WASHINGTON LUIZ;12420;SITIO 21                  AREA C1;PILAR;25213-005;ETANOL;24/08/2021;5,299;;R$ / litro;BRANCA;2º semestre;SE
NE;BA;SALVADOR;AUTO POSTO MERIDIONAL LTDA; 40.585.119/0001-98;RUA FERNANDES VIEIRA;54;;CENTRO;40411-560;ETANOL;21/06/2021;4,85;;R$ / litro;BRANCA;1º semestre;
;SP;JUNDIAI;ITALIA DE JUNDIAI POSTO DE SERVICOS LTDA; 34.262.784/0001-48;RUA DOS BANDEIRANTES;1118;;PONTE DE CAMPINAS;13201-130;GASOLINA;04/11/2021;6,299;;R$ / litro;RAIZEN;2º semestre;SE
SE;SP;POA;AUTO POSTO ESTÃNCIA HIDROMINERAL DE POÃ LTDA.; 03.017.060/0001-05;AVENIDA PREFEITO FRANCISCO RODRIGUES FILHO;300;;CENTRO;08561-200;ETANOL;05/01/2021;2,99;;R$ / litro;BRANCA;1º semestre;
CO;GO;GOIANIA;POSTO Z + Z T-9 LTDA; 03.077.437/0001-11;AVENIDA T 9;3296;QD 256 LT 12E;JARDIM AMERICA;74255-220;ETANOL;24/03/2021;3,99;;R$ / litro;BRANCA;1º semestre;
;SP;JALES;BERNARDO & ROSSINI COMERCIO DE COMBUSTIVEIS LTDA; 09.093.968/0001-84;AVENIDA AFONSO ROSSAFA MOLINA;3164;;SANTO EXPEDITO;15700-002;ETANOL;24/11/2021;5,379;;R$ / litro;BRANCA;2º semestre;SE
SE;RJ;NILOPOLIS;AUTO POSTO CIGANO LIMITADA; 30.135.974/0001-43;RUA ANTONIO JOSE BITENCOURT;1576;;CENTRO;26535-000;ETANOL;01/02/2021;4,459;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.;1º semestre;
;RJ;BELFORD ROXO;AUTO POSTO DO TRABALHO S/A; 03.139.910/0037-59;AVENIDA JOAQUIM DA COSTA LIMA;14201;;DOS FERREIRAS;26183-604;ETANOL;22/11/2021;6,089;;R$ / litro;BRANCA;2º semestre;SE
S;PR;MARINGA;PUPIM COMBUSTIVEIS E LUBRIFICANTES LTDA.; 82.467.911/0001-98;AVENIDA MORANGUEIRA;3,52;ZONA 46;CHACARAS ALVORADA;87035-060;ETANOL;29/06/2021;4,49;;R$ / litro;IPIRANGA;1º semestre;
CO;DF;BRASILIA;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA; 00.306.597/0090-72;QUADRA QS 320 CONJUNTO 10 LOTE;2;;SAMAMBAIA;72310-510;ETANOL;02/06/2021;4,839;;R$ / litro;BRANCA;1º semestre;
