ï»¿Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira;semestre;Regiao - Sigla
SE;RJ;RIO DE JANEIRO;POSTO MCA LTDA; 09.157.582/0001-99;ESTRADA DO MONTEIRO;1026;;CAMPO GRANDE;23045-830;DIESEL S10;29/03/2021;4,099;;R$ / litro;BRANCA;1º semestre;
;SP;SOROCABA;AUTO POSTO CORREA NETO SEMPRE ABASTECE ZONA OESTE SOROCABA LTDA; 28.300.995/0001-25;AVENIDA DOUTOR ARMANDO PANNUNZIO;439;449;JARDIM VERA CRUZ;18050-000;GASOLINA;22/08/2021;5,499;;R$ / litro;BRANCA;2º semestre;SE
;SP;SAO PAULO;AUTO POSTO CITY ARICANDUVA LTDA; 11.239.648/0001-31;RUA SEBASTIAO DE ANDRADE;99;;VILA MATILDE;03510-020;DIESEL S10;18/08/2021;4,699;;R$ / litro;BRANCA;2º semestre;SE
;SC;TUBARAO;REDE FURNAS COMERCIO DE COMBUSTIVEIS LTDA; 01.387.686/0010-79;AVENIDA PATRICIO LIMA;90;;HUMAITA;88704-410;GNV;14/10/2021;4,399;;R$ / m³;IPIRANGA;2º semestre;S
;RS;VACARIA;TELMO CLEMENTE GUIZOLFI & FILHO LTDA.; 05.444.847/0001-89;RUA ASSIS BRASIL;752;ESQ.C/RUA ST.ANTONIO;PETROPOLIS;95211-143;ETANOL;17/08/2021;6,29;;R$ / litro;BRANCA;2º semestre;S
;RS;VACARIA;SIM REDE DE POSTOS LTDA; 07.473.735/0126-00;ESTRADA FEDERAL BR 116;9290;;SANTA TEREZINHA;95200-000;GASOLINA;15/09/2021;6,499;;R$ / litro;VIBRA ENERGIA;2º semestre;S
SE;SP;ARACATUBA;W. DEMO DE MORAES COMBUSTÃVEIS LTDA.; 13.551.498/0001-22;RUA QUINZE DE NOVEMBRO;236;;CENTRO;16010-030;ETANOL;31/05/2021;3,879;;R$ / litro;BRANCA;1º semestre;
;MG;MONTES CLAROS;REDE HG COMBUSTIVEIS LTDA.; 13.569.064/0002-30;AVENIDA DOUTOR MARIO TOURINHO;S/N;"KM: 13;";ACACIAS;39410-000;GASOLINA ADITIVADA;06/10/2021;6,345;;R$ / litro;RAIZEN;2º semestre;SE
;SP;EMBU DAS ARTES;AUTO POSTO GROU LTDA; 23.037.092/0001-80;AVENIDA ROTARY;2040;;VILA ISIS CRISTINA;06815-490;GASOLINA ADITIVADA;04/10/2021;6,099;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
SE;RJ;NOVA FRIBURGO;POSTO CARESTIATO DE FRIBURGO LTDA; 00.701.679/0001-46;RUA FERNANDO BIZZOTO;90;;CENTRO;28625-000;GASOLINA ADITIVADA;21/04/2021;6,089;;R$ / litro;BRANCA;1º semestre;
NE;SE;ARACAJU;A.C. COMERCIO DE COMBUSTIVEIS LTDA; 08.309.233/0002-63;AVENIDA ADELIA FRANCO;3380;;INACIO BARBOSA;49048-170;ETANOL;19/04/2021;4,49;;R$ / litro;RAIZEN;1º semestre;
N;AP;MACAPA;AUTOMOTO COMBUSTIVEIS DO AMAPA LTDA; 05.983.192/0003-89;RUA CANDIDO MENDES;167;;CENTRAL;68900-100;GASOLINA;20/04/2021;4,84;;R$ / litro;BRANCA;1º semestre;
;SP;PARAGUACU PAULISTA;AUTO POSTO IRMÃOS LIMA LTDA; 57.984.304/0001-58;AVENIDA BRASIL;374;0;CENTRO;19700-000;ETANOL;18/10/2021;4,758;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
;SP;ITAPIRA;AUTO  POSTO SMC LTDA; 09.387.108/0001-53;RUA CONSELHEIRO  LAURINDO;458;;CUBATAO;13972-320;GASOLINA;05/09/2021;5,689;;R$ / litro;RAIZEN;2º semestre;SE
;RR;BOA VISTA;AUTO POSTO AMAZONMINAS LTDA; 00.940.665/0001-85;AVENIDA MINAS GERAIS;747;;DOS ESTADOS;69305-660;GASOLINA ADITIVADA;26/10/2021;6,29;;R$ / litro;SABBÁ;2º semestre;N
;PR;PARANAVAI;COMERCIAL DE COMBUSTIVEIS LOSANGO LTDA; 05.164.425/0001-50;AVENIDA DEPUTADO HEITOR DE ALENCAR FURTADO;3100; ;JARDIM SÃO JORGE;87711-000;DIESEL S10;12/07/2021;4,39;;R$ / litro;BRANCA;2º semestre;S
NE;CE;FORTALEZA;POSTO DLX DERIVADOS DE PETROLEO LTDA; 24.873.348/0001-51;RUA OSCAR FRANCA;2469;;GRANJA LISBOA;60540-375;DIESEL S10;02/05/2021;4,29;;R$ / litro;RAIZEN;1º semestre;
SE;SP;ARARAQUARA;AUTO POSTO ARARAQUARA LTDA; 43.949.742/0001-70;RUA ANTONIO PRADO;395;;CENTRO;14801-270;ETANOL;25/04/2021;3,59;;R$ / litro;BRANCA;1º semestre;
S;PR;COLOMBO;POSTO ALTO MARACANA LTDA; 23.807.926/0001-99;RUA ABEL SCUISSIATO;603;;ATUBA;83408-280;GASOLINA ADITIVADA;05/01/2021;4,499;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.;1º semestre;
NE;CE;FORTALEZA;DALLAS DERIVADOS DE PETROLEO LTDA; 10.478.691/0006-00;RUA ALVARO DE ALENCAR;787;;CARLITO PAMPLONA;60714-012;DIESEL S10;19/01/2021;3,899;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.;1º semestre;
SE;RJ;DUQUE DE CAXIAS;POSTO SAO CRISTOVAO LTDA; 29.320.058/0001-02;RODOVIA WASHINGTON LUIZ;14450;;JD PRIMAVERA;25055-009;DIESEL S10;24/02/2021;4,899;;R$ / litro;IPIRANGA;1º semestre;
;SP;BEBEDOURO;AUTO POSTO UNICOOP DE BEBEDOURO LTDA; 05.441.341/0001-16;AVENIDA QUITO STAMATO;22;;CENTRO;14700-440;GASOLINA;27/09/2021;5,849;;R$ / litro;RAIZEN;2º semestre;SE
;PE;CABO DE SANTO AGOSTINHO;M TACITO CORREIA & CIA LTDA; 08.894.271/0001-40;AVENIDA NOSSA SENHORA DO BOM CONSELHO;190;;PONTE DOS CARVALHOS;54580-430;GASOLINA;27/12/2021;6,599;;R$ / litro;RAIZEN;2º semestre;NE
CO;MS;CAMPO GRANDE;POSTO SAO JUDAS TADEU LTDA; 01.438.481/0001-84;RUA DA DIVISAO;1266;;AERO RANCHO;79081-650;GASOLINA;20/05/2021;5,754;;R$ / litro;BRANCA;1º semestre;
CO;MT;CUIABA;COMERCIAL AMAZONIA DE PETROLEO EIRELI; 09.001.879/0017-28;AVENIDA HISTORIADOR RUBENS DE MENDONCA;1,679;;BOSQUE DA SAUDE;78050-000;DIESEL S10;21/01/2021;4,099;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.;1º semestre;
;ES;GUARAPARI;VALOR POSTOS PRAIA DO MORRO LTDA; 09.076.862/0001-72;RODOVIA RODOVIA DO SOL;S/ NR;KM    41;AEROPORTO;29216-705;DIESEL S10;30/11/2021;5,299;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
;SP;TABOAO DA SERRA;AUTO POSTO EUROPA LTDA.; 04.847.983/0001-57;ESTRADA BENEDITO CESARIO DE OLIVERIA;1970;;JD. RECORD;06767-281;DIESEL S10;04/10/2021;4,679;;R$ / litro;BRANCA;2º semestre;SE
;PE;RECIFE;J V R A FERREIRA COMBUSTIVEIS EIRELI; 30.194.580/0001-66;AVENIDA CAXANGA;4973;LOJA 0000;VARZEA;50740-000;DIESEL S10;10/08/2021;4,499;;R$ / litro;BRANCA;2º semestre;NE
NE;BA;SALVADOR;SOCOMBUSTIVEIS COMERCIO DE DERIVADOS DE PETROLEO LTDA; 04.604.158/0003-93;RUA DOUTOR JORGE ANDRADE;264;QUADRA 11;AGUAS CLARAS;41310-260;DIESEL;18/01/2021;3,47;;R$ / litro;BRANCA;1º semestre;
NE;PB;JOAO PESSOA;ESUTRA COMERCIO DE COMBUSTIVEIS LTDA; 04.209.860/0001-90;RUA JOSE HOLMES;S/N;LOTE 162 QD 352;ERNANI SATYRO;58080-400;GASOLINA ADITIVADA;02/05/2021;5,219;;R$ / litro;BRANCA;1º semestre;
NE;BA;SALVADOR;M-30 COMERCIO DE COMBUSTIVEIS LTDA; 04.794.669/0001-53;ESTRADA DA LIBERDADE;428;;LIBERDADE;40375-016;GASOLINA ADITIVADA;18/01/2021;4,61;;R$ / litro;BRANCA;1º semestre;
S;PR;CURITIBA;AUTO POSTO DELGADO MORO LTDA; 33.536.115/0001-54;RUA XV DE NOVEMBRO;3040;;ALTO DA RUA XV;80045-340;GASOLINA ADITIVADA;04/05/2021;5,499;;R$ / litro;IPIRANGA;1º semestre;
;GO;MORRINHOS;AUTO POSTO GENIN LTDA; 11.176.367/0001-87;RODOVIA GO 213;SNR;QUADRAA1                  LOTE  02;SETOR MORRO DA SAUDADE;75650-000;ETANOL;16/09/2021;4,76;;R$ / litro;BRANCA;2º semestre;CO
;SP;ARARAS;AUTO POSTO TREVO ARARENSE LTDA; 60.184.579/0001-11;AVENIDA ERNANI LACERDA DE OLIVEIRA;S/N;ESQUINA COM  RUA VICENTE BLANCO;PARQUE SANTA CANDIDA;13603-112;GASOLINA ADITIVADA;02/08/2021;5,499;;R$ / litro;BRANCA;2º semestre;SE
S;PR;PINHAIS;AUTO POSTO ESTRELA DO ORIENTE LTDA.; 11.486.527/0001-94;AVENIDA VINTE E QUATRO DE MAIO;170;;ESTANCIAS PINHAIS;83320-060;GASOLINA ADITIVADA;24/02/2021;4,89;;R$ / litro;BRANCA;1º semestre;
;SP;CACAPAVA;AUTO POSTO 4R LTDA.; 58.662.446/0001-61;RODOVIA PRESIDENTE DUTRA;S/N;KM 124;CAMPO GRANDE;12283-840;DIESEL S10;04/10/2021;4,899;;R$ / litro;RAIZEN;2º semestre;SE
;GO;APARECIDA DE GOIANIA;BATISTA & CAMARGO LTDA.; 06.113.782/0001-51;RUA MANGUAPE;S/N;QD.45 LT 7/9;VILA ALZIRA;74913-350;GASOLINA;30/09/2021;6,87;;R$ / litro;BRANCA;2º semestre;CO
;MG;MANHUACU;POSTO MAP LTDA; 03.209.283/0001-74;RUA FELIPE NACIF;136;;BAIXADA;36900-000;GASOLINA ADITIVADA;22/11/2021;7,419;;R$ / litro;RAIZEN;2º semestre;SE
;SP;BRAGANCA PAULISTA;AUTO POSTO SABELLA - JARDINS LTDA; 08.254.217/0001-30;RUA FELIPE SIQUEIRA;101;;JARDIM SANTA LUZIA;12919-494;DIESEL;13/09/2021;4,657;;R$ / litro;RAIZEN;2º semestre;SE
;MA;IMPERATRIZ;AUTO POSTO GUIMARAES LTDA; 02.855.790/0001-12;RUA   HENRIQUE DIAS;S/N;KM 1350;SAO JOSE DO EGITO;65901-140;GASOLINA ADITIVADA;29/11/2021;6,899;;R$ / litro;BRANCA;2º semestre;NE
;CE;FORTALEZA;PERIMETRAL COMERCIO DE COMBUSTIVEIS LTDA; 22.448.415/0001-65;RUA   DIOGO CORREIA;210;;JOÃO XXIII;60525-580;GASOLINA ADITIVADA;29/11/2021;7,15;;R$ / litro;RAIZEN;2º semestre;NE
;RS;VIAMAO;POSTO DE GASOLINA E LUBRIFICANTES BOLINHA LTDA; 89.810.881/0001-10;AVENIDA SENADOR SALGADO FILHO;5286;;VILA SAO LUCAS;94450-000;GASOLINA ADITIVADA;20/12/2021;7,099;;R$ / litro;IPIRANGA;2º semestre;S
;SP;MOGI MIRIM;AUTO POSTO RECREIO DE MOGI MIRIM EIRELI; 05.974.671/0001-77;AVENIDA VINTE E DOIS DE OUTUBRO;1250;;JARDIM AMERICA;13806-090;GASOLINA;17/08/2021;5,849;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
;SP;SANTA CRUZ DO RIO PARDO;AUTO POSTO THATHIMA LTDA; 00.398.167/0002-33;AVENIDA CORONEL CLEMENTINO GONÇALVES;S/N;;SERRINHA;18900-000;DIESEL;21/12/2021;5,199;;R$ / litro;RAIZEN;2º semestre;SE
;RS;SAO GABRIEL;VACACAI COMBUSTIVEIS & LUBRIFICANTES LTDA; 93.417.202/0001-14;RUA DR FRANCISCO LEIVAS;566;;CENTRO;97300-010;DIESEL S10;15/12/2021;5,6;;R$ / litro;BRANCA;2º semestre;S
;SP;ITAPECERICA DA SERRA;AUTO POSTO LADEIRA DA SERRA LTDA; 59.195.032/0001-32;RUA MIGUEL ROTGER DOMINGUES;292;;CENTRO;06850-780;DIESEL S10;09/11/2021;5,299;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
;PR;CORNELIO PROCOPIO;AUTO POSTO DO CRISTO LTDA; 30.572.294/0001-97;AVENIDA XV DE NOVEMBRO;14;;CENTRO;86000-000;GASOLINA;18/11/2021;6,71;;R$ / litro;BRANCA;2º semestre;S
;SP;FRANCA;AUTO POSTO SOUZA CUNHA LTDA; 04.930.554/0001-49;AVENIDA MAJOR NICACIO;2780;;VILA SANTA CRUZ;14403-460;GASOLINA;11/10/2021;5,959;;R$ / litro;BRANCA;2º semestre;SE
;SP;ARARAQUARA;AUTO POSTO RUA 16 LTDA; 07.060.206/0001-56;RUA CASTRO ALVES;2,647;;VILA SANTANA;14801-450;ETANOL;28/09/2021;4,349;;R$ / litro;BRANCA;2º semestre;SE
;PE;GARANHUNS;F3 COMBUSTIVEIS LTDA; 20.078.006/0001-99;AVENIDA JULIO BRASILEIRO;562;;HELIOPOLIS;55297-010;DIESEL S10;22/12/2021;5,459;;R$ / litro;IPIRANGA;2º semestre;NE
NE;PE;RECIFE;PETROCAL PETROLEO CAVALCANTI LIMITADA; 12.781.233/0005-81;AVENIDA NORTE MIGUEL ARRAES DE ALENCAR;3110;;ENCRUZILHADA;52041-080;GASOLINA ADITIVADA;17/02/2021;5,199;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.;1º semestre;
NE;BA;FEIRA DE SANTANA;TREVO DERIVADOS DE PETROLEO LTDA; 14.486.153/0013-39;AVENIDA TRANSNORDESTINA;2,3;TERREO;PARQUE IPE;44054-008;ETANOL;16/02/2021;3,81;;R$ / litro;BRANCA;1º semestre;
;MT;RONDONOPOLIS;AUTO POSTO MAXXIMUS LTDA; 31.252.955/0001-60;AVENIDA ARAO GOMES BEZERRA;654;LOTE  1/09;JARDIM TROPICAL;78715-192;DIESEL;20/10/2021;5,299;;R$ / litro;BRANCA;2º semestre;CO
;SP;POA;CENTRO AUTOMOTIVO REAL LESTE LTDA; 01.456.575/0001-86;AVENIDA LUCAS NOGUEIRA GARCEZ;677;;V STA MARIA;08563-100;GASOLINA;23/11/2021;6,599;;R$ / litro;IPIRANGA;2º semestre;SE
;SP;SAO JOSE DO RIO PRETO;POSTO SAO DOMINGOS RIO PRETO LTDA; 64.858.848/0001-39;AVENIDA MIRASSOLANDIA;1071;;ELDORADO;15045-000;GASOLINA ADITIVADA;23/08/2021;5,849;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
;SP;LINS;AUTO POSTO RODOVIARIA DE LINS LTDA; 05.988.578/0001-11;AVENIDA TIRADENTES;2290;;CENTRO;16400-050;GASOLINA;26/07/2021;5,75;;R$ / litro;BRANCA;2º semestre;SE
S;PR;CURITIBA;AUTO POSTO AVENTADOR LTDA; 28.998.910/0001-24;AVENIDA PREFEITO ERASTO GAERTNER;308;;BACACHERI;82510-160;ETANOL;02/03/2021;3,899;;R$ / litro;IPIRANGA;1º semestre;
SE;SP;DIADEMA;AUTO POSTO ALVARES CABRAL LTDA; 55.506.737/0001-72; ALVARES CABRAL;573; ;SERRARIA;09981-030;GASOLINA;12/01/2021;4,199;;R$ / litro;BRANCA;1º semestre;
NE;PE;RECIFE;MEGA POSTO LTDA; 02.161.781/0001-21;AVENIDA MARECHAL MASC.DE MORAES;1022;;IMBIRIBEIRA;51170-000;DIESEL S10;19/01/2021;3,699;;R$ / litro;IPIRANGA;1º semestre;
SE;SP;BIRIGUI;VALTER GAVASSA COMBUSTIVEIS LTDA; 19.292.157/0001-66;AVENIDA AFIF JOSE ABDO;37;;RESIDENCIAL PORTAL DA PEROLA II;16201-413;GASOLINA ADITIVADA;17/03/2021;5,599;;R$ / litro;RAIZEN;1º semestre;
;MG;PASSOS;AUTO POSTO EXPEDICIONARIOS LTDA; 14.532.993/0001-57;AVENIDA JK;407;;JARDIM COLEGIO DE PASSOS;37901-000;GASOLINA;26/10/2021;6,979;;R$ / litro;BRANCA;2º semestre;SE
;CE;IGUATU;MENDONCA & ALEXANDRE COMBUSTIVEIS LTDA; 32.574.783/0001-03;RUA JULIO CAVALCANTE;50;;FLORES;63500-494;GASOLINA;18/08/2021;6,39;;R$ / litro;BRANCA;2º semestre;NE
SE;SP;SOROCABA;AUTO POSTO W'QUATRO LTDA; 10.434.857/0001-73;AVENIDA SAO PAULO;2269;;ALEM PONTE;18013-004;DIESEL;28/06/2021;4,459;;R$ / litro;IPIRANGA;1º semestre;
;SP;VOTORANTIM;AUTO POSTO MANGUEIRA VOTORANTIM E SERVICOS LTDA; 04.130.208/0001-86;AVENIDA REVERENDO JOSE MANOEL DA CONCEICAO;300;;B. DOS PROTESTANTES;18111-000;DIESEL S10;22/08/2021;4,499;;R$ / litro;BRANCA;2º semestre;SE
S;PR;SAO JOSE DOS PINHAIS;AUTO POSTO E MECANICA BARAO LTDA; 75.176.859/0001-55;RUA BARAO DO CERRO AZUL;1617;;BOM JESUS;83025-140;GASOLINA;07/04/2021;5,099;;R$ / litro;RAIZEN;1º semestre;
;SP;DIADEMA;PORTAL DOIS COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA; 13.453.940/0001-88;AVENIDA CASA GRANDE;2471;;JARDIM DA CASA;09961-350;GASOLINA ADITIVADA;06/12/2021;6,399;;R$ / litro;IPIRANGA;2º semestre;SE
;SP;SAO VICENTE;AUTO POSTO ITARARE DE SAO VICENTE LTDA; 04.550.260/0001-91; MARTINS FONTES;1572;;BEIRA MAR;11340-010;ETANOL;12/07/2021;4,199;;R$ / litro;RAIZEN;2º semestre;SE
NE;PE;RECIFE;PETROCAL PETROLEO CAVALCANTI LIMITADA; 12.781.233/0006-62;AVENIDA ANTONIO DE GOES;218;;PINA;51010-000;GASOLINA;02/02/2021;4,999;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.;1º semestre;
;SP;PARAGUACU PAULISTA;AUTO POSTO KAWAKAMI LTDA; 28.973.159/0003-73;RUA PREF JOSE DELIBERADOR;323;SALA  1;CENTRO;19700-000;GASOLINA;29/11/2021;6,28;;R$ / litro;BRANCA;2º semestre;SE
S;RS;PORTO ALEGRE;COMERCIAL TRES FIGUEIRAS LTDA; 01.429.112/0001-25;AVENIDA PROF.CRISTIANO FISCHER;1950;;PARTENON;91410-000;GASOLINA ADITIVADA;03/02/2021;4,869;;R$ / litro;BRANCA;1º semestre;
S;PR;MARINGA;A E RODRIGUES GOMES - EIRELI; 28.153.257/0001-00;AVENIDA MANDACARU;1275;;VILA SANTA IZABEL;87080-000;DIESEL S10;20/04/2021;3,89;;R$ / litro;BRANCA;1º semestre;
;PR;FOZ DO IGUACU;CONSALTER & SILVA LTDA; 14.030.925/0001-90;AVENIDA FELIPE WANDSCHEER;4700;;JARDIM SAO PAULO I;85856-530;ETANOL;30/11/2021;5,39;;R$ / litro;BRANCA;2º semestre;S
;SP;SALTO;VIA REGIO AUTO CENTER LTDA; 00.401.856/0001-79;RUA RIO BRANCO;1470;;CENTRO;13320-271;ETANOL;10/11/2021;5,423;;R$ / litro;IPIRANGA;2º semestre;SE
SE;SP;RIO CLARO;AUTO POSTO CEU AZUL DE RIO CLARO LTDA; 10.603.724/0001-83;AVENIDA 5;167;;CENTRO;13500-380;DIESEL S10;15/06/2021;4,675;;R$ / litro;IPIRANGA;1º semestre;
;SP;GARCA;AUTO POSTO LÚDIO LTDA; 02.337.920/0001-25;RUA HEITOR PENTEADO;140;;CENTRO;17400-000;GASOLINA ADITIVADA;26/07/2021;5,599;;R$ / litro;BRANCA;2º semestre;SE
;MG;TEOFILO OTONI;RADECK DERIVADOS DE PETROLEO EIRELI; 28.947.215/0001-33;AVENIDA SIDONIO OTONI;1000;;JOAQUIM PEDROSA;39800-224;GASOLINA;27/07/2021;6,389;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
SE;SP;VINHEDO;CENTER CAR AUTO POSTO GASPARINI LTDA; 64.974.611/0001-13;AVENIDA INDEPENDENCIA;5840;;RESIDENCIAL AQUARIO;13280-001;ETANOL;18/03/2021;4,149;;R$ / litro;RAIZEN;1º semestre;
S;SC;TUBARAO;ESTACAO PREMIER COMERCIO DE COMBUSTIVEIS LTDA; 01.354.648/0001-29;RUA SAO GERALDO;385;;OFICINAS;88701-020;GASOLINA ADITIVADA;09/06/2021;5,287;;R$ / litro;IPIRANGA;1º semestre;
;RS;BAGE;COMERCIAL INTERNACIONAL LTDA; 93.810.919/0001-21;RUA GAL.OSORIO;98;;CENTRO;96405-050;DIESEL S10;16/08/2021;5,299;;R$ / litro;IPIRANGA;2º semestre;S
;RS;PORTO ALEGRE;LUIZ GUSTAVO DI LORENZO GARCIA SCHERER; 34.792.562/0001-37;AVENIDA BENTO GONCALVES;2599;;PARTENON;90650-003;GASOLINA;17/11/2021;7,149;;R$ / litro;BRANCA;2º semestre;S
SE;MG;MURIAE;AUTO POSTO DORNELAS LTDA; 03.285.009/0002-65;RUA JOSE BORGES ABRANTES;33;;CENTRO;36880-063;GASOLINA;24/05/2021;6,099;;R$ / litro;IPIRANGA;1º semestre;
N;AC;RIO BRANCO;AUTO POSTO ACAUAN LTDA; 00.524.999/0001-78;RODOVIA AC 40;1800;;VILA ACRE;69902-450;ETANOL;10/03/2021;4,79;;R$ / litro;VIBRA ENERGIA;1º semestre;
;SP;ARACATUBA;W. DEMO DE MORAES COMBUSTÍVEIS LTDA.; 13.551.498/0001-22;RUA QUINZE DE NOVEMBRO;236;;CENTRO;16010-030;DIESEL S10;16/12/2021;5,499;;R$ / litro;BRANCA;2º semestre;SE
;RN;NATAL;COMERCIO & DERIVADOS DE PETROLEO PLANALTO LTDA; 32.543.640/0001-34;RUA MARCOS AUGUSTO TEIXEIRA DE CARVALHO FILHO;720;;PLANALTO;59073-350;DIESEL S10;17/11/2021;5,95;;R$ / litro;IPIRANGA;2º semestre;NE
;RJ;NOVA IGUACU;REALEZA DE IGUAÇU COMB. E PNEUS LTDA; 36.539.575/0001-24;AVENIDA GOVERNADOR ROBERTO SILVEIRA;1366;;POSSE;26285-060;GASOLINA;30/11/2021;7,349;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
;SP;SANTOS;COMERCIAL ALVORADA CENTER LTDA; 46.198.081/0001-87;AVENIDA AFONSO PENA;55;;BOQUEIRAO;11020-001;GASOLINA;10/08/2021;5,999;;R$ / litro;RAIZEN;2º semestre;SE
;RJ;DUQUE DE CAXIAS;POSTO SANTA ALICE LTDA.; 29.329.075/0001-00;RODOVIA WASHINGTON LUIS;18520;3º DISTRITO;SANTA CRUZ DA SERRA;25255-000;GASOLINA;13/12/2021;7,197;;R$ / litro;IPIRANGA;2º semestre;SE
;MG;MONTES CLAROS;TREVO DERIVADOS DE PETROLEO LTDA; 14.486.153/0008-71; ANEL RODOVIARIO LESTE;5005;;SEDE;39401-708;ETANOL;13/09/2021;4,59;;R$ / litro;BRANCA;2º semestre;SE
NE;BA;SALVADOR;POSTO DE COMBUSTIVEIS PITANGUEIRAS LTDA; 20.975.790/0001-38;RUA  DAS PITANGUEIRAS;74;;MATATU;40255-436;GASOLINA;02/06/2021;5,85;;R$ / litro;BRANCA;1º semestre;
;SP;MOGI DAS CRUZES;REDE DE POSTOS SETE ESTRELAS LTDA; 45.694.437/0020-73;AVENIDA LOTHAR WALDEMAR HOEHNNE;1717;;RODEIO;08775-000;GASOLINA ADITIVADA;29/11/2021;6,299;;R$ / litro;BRANCA;2º semestre;SE
;MG;MANHUACU;AUTO POSTO NAZARAO REALEZA LTDA; 23.448.810/0001-00;RODOVIA BR 262;1325;;REALEZA;36900-000;GASOLINA ADITIVADA;22/11/2021;7,27;;R$ / litro;BRANCA;2º semestre;SE
;SP;SANTA CRUZ DO RIO PARDO;CASA AVENIDA COMERCIO DE COMBUSTIVEIS LTDA; 01.077.010/0005-11;RUA CATARINA ETSUCO UMEZU;835;;CENTRO;18900-000;GASOLINA;18/08/2021;5,499;;R$ / litro;BRANCA;2º semestre;SE
SE;RJ;SAO GONCALO;POSTO COLUBANDE LTDA; 31.704.463/0001-68;RUA CAP JUVENAL FIGUEIREDO;1 A 3;LOTES;COLUBANDE;24744-560;GASOLINA ADITIVADA;09/02/2021;4,899;;R$ / litro;BRANCA;1º semestre;
